TreeDepth,Offset,Order,PID,Start,State,Type,Name,Display,Binary,Binary (Registry),Dll
0,0x22d2124c8a0,232,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,mausbip,mausbip,N/A,\\SystemRoot\\System32\\drivers\\mausbip.sys,-
0,0x22d2124d5b0,231,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,mausbhost,mausbhost,N/A,\\SystemRoot\\System32\\drivers\\mausbhost.sys,-
0,0x22d2124c770,230,N/A,SERVICE_AUTO_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,MapsBroker,Downloaded Maps Manager,N/A,%SystemRoot%\\System32\\svchost.exe -k NetworkService -p,%SystemRoot%\\System32\\moshost.dll
0,0x22d21247960,229,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,LxpSvc,Language Experience Service,N/A,%SystemRoot%\\system32\\svchost.exe -k netsvcs,%SystemRoot%\\System32\\LanguageOverlayServer.dll
0,0x22d21248610,228,N/A,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_FILE_SYSTEM_DRIVER,luafv,luafv,\\FileSystem\\luafv,\\SystemRoot\\system32\\drivers\\luafv.sys,-
0,0x22d21281a50,579,2320,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_OWN_PROCESS,WinDefend,Microsoft Defender Antivirus Service,"""C:\\Program Files\\Windows Defender\\MsMpEng.exe""","""%ProgramFiles%\\Windows Defender\\MsMpEng.exe""",-
0,0x22d21281a60,578,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_FILE_SYSTEM_DRIVER,WIMMount,WIMMount,N/A,system32\\drivers\\wimmount.sys,-
0,0x22d21284230,577,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,WiaRpc,Still Image Acquisition Events,N/A,%SystemRoot%\\system32\\svchost.exe -k LocalSystemNetworkRestricted -p,%SystemRoot%\\System32\\wiarpc.dll
0,0x22d212816c0,576,N/A,SERVICE_BOOT_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,WFPLWFS,WFPLWFS,\\Driver\\WFPLWFS,System32\\drivers\\wfplwfs.sys,-
0,0x22d212852d0,575,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,WFDSConMgrSvc,Wi-Fi Direct Services Connection Manager Service,N/A,%SystemRoot%\\system32\\svchost.exe -k LocalServiceNetworkRestricted -p,%SystemRoot%\\System32\\wfdsconmgrsvc.dll
0,0x22d21280a10,574,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,WerSvc,Windows Error Reporting Service,N/A,%SystemRoot%\\System32\\svchost.exe -k WerSvcGroup,%SystemRoot%\\System32\\WerSvc.dll
0,0x22d21280840,573,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,wercplsupport,Problem Reports Control Panel Support,N/A,%SystemRoot%\\System32\\svchost.exe -k netsvcs -p,%SystemRoot%\\System32\\wercplsupport.dll
0,0x22d21280f80,572,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,WEPHOSTSVC,Windows Encryption Provider Host Service,N/A,%systemroot%\\system32\\svchost.exe -k WepHostSvcGroup,%systemroot%\\system32\\wephostsvc.dll
0,0x22d212814f0,571,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,Wecsvc,Windows Event Collector,N/A,%SystemRoot%\\system32\\svchost.exe -k NetworkService -p,%SystemRoot%\\system32\\wecsvc.dll
0,0x22d21280670,570,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,WebClient,WebClient,N/A,%SystemRoot%\\system32\\svchost.exe -k LocalService -p,%SystemRoot%\\System32\\webclnt.dll
0,0x22d212802d0,569,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,WdNisSvc,Microsoft Defender Antivirus Network Inspection Service,N/A,"""%ProgramFiles%\\Windows Defender\\NisSrv.exe""",-
0,0x22d2127fb90,568,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,WdNisDrv,Microsoft Defender Antivirus Network Inspection System Driver,N/A,system32\\Drivers\\WdNisDrv.sys,-
0,0x22d21284ce0,567,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,WdmCompanionFilter,WdmCompanionFilter,N/A,system32\\drivers\\WdmCompanionFilter.sys,-
0,0x22d21284100,566,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,wdiwifi,wdiwifi,N/A,system32\\DRIVERS\\wdiwifi.sys,-
0,0x22d212487d0,200,360,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,iphlpsvc,IP Helper,C:\\Windows\\system32\\svchost.exe -k netsvcs -p,%SystemRoot%\\System32\\svchost.exe -k NetSvcs -p,%SystemRoot%\\System32\\iphlpsvc.dll
0,0x22d212487e0,199,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,IpFilterDriver,IpFilterDriver,N/A,system32\\DRIVERS\\ipfltdrv.sys,-
0,0x22d212460f0,198,N/A,SERVICE_BOOT_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,iorate,iorate,\\Driver\\iorate,system32\\drivers\\iorate.sys,-
0,0x22d21246cd0,197,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,intelppm,intelppm,N/A,\\SystemRoot\\System32\\drivers\\intelppm.sys,-
0,0x22d21246ba0,196,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,intelpmax,intelpmax,N/A,\\SystemRoot\\System32\\drivers\\intelpmax.sys,-
0,0x22d21245050,195,N/A,SERVICE_BOOT_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,intelpep,intelpep,\\Driver\\intelpep,System32\\drivers\\intelpep.sys,-
0,0x22d21245640,194,N/A,SERVICE_BOOT_START,SERVICE_RUNNING,SERVICE_KERNEL_DRIVER,intelide,intelide,\\Driver\\intelide,System32\\drivers\\intelide.sys,-
0,0x22d21245e90,193,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,InstallService,Microsoft Store Install Service,N/A,%SystemRoot%\\System32\\svchost.exe -k netsvcs -p,%SystemRoot%\\system32\\InstallService.dll
0,0x22d212473f0,192,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,IndirectKmd,IndirectKmd,N/A,\\SystemRoot\\System32\\drivers\\IndirectKmd.sys,-
0,0x22d2128af70,602,360,SERVICE_AUTO_START,SERVICE_RUNNING,SERVICE_WIN32_SHARE_PROCESS,WpnService,Windows Push Notifications System Service,C:\\Windows\\system32\\svchost.exe -k netsvcs -p,%systemroot%\\system32\\svchost.exe -k netsvcs -p,-
0,0x22d2128af80,601,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_KERNEL_DRIVER,WpdUpFltr,WpdUpFltr,N/A,System32\\drivers\\WpdUpFltr.sys,-
0,0x22d21284490,600,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_SHARE_PROCESS,WPDBusEnum,Portable Device Enumerator Service,N/A,%SystemRoot%\\system32\\svchost.exe -k LocalSystemNetworkRestricted,%SystemRoot%\\system32\\wpdbusenum.dll
0,0x22d2128a4a0,599,N/A,SERVICE_DEMAND_START,SERVICE_STOPPED,SERVICE_WIN32_OWN_PROCESS,WpcMonSvc,Parental Controls,N/A,%SystemRoot%\\system32\\svchost.exe -k LocalService,%SystemRoot%\\System32\\WpcDesktopMonSvc.dll
